Name,Team,Swimmer_ID,Hometown
Alyssa Anderson,Boston College,210279,NY
Loren Ball,Boston College,184600,NJ
Maureen Barron,Boston College,174385,IL
Bailey Brown,Boston College,125689,MN
Catherine Cole,Boston College,125561,MN
Samantha Couillard,Boston College,244824,ME
Kelly DiStefano,Boston College,203834,CT
Emily Downs,Boston College,244826,MA
Rachel Emodi,Boston College,294299,NJ
Annie Fothergill,Boston College,124248,MA
Megan Fuqua,Boston College,287290,CA
Dana Hadra,Boston College,68583,CT
Kelsey Hawthorne,Boston College,200635,CA
Hanna Hunstad,Boston College,103301,MI
Madeleine Irwin,Boston College,58242,CT
Ann Kearns,Boston College,94028,CT
Rainey Kelly,Boston College,127269,MA
Abigail Kordell,Boston College,110228,IL
Gracie Kunkel,Boston College,112402,CT
Corinne Larkin,Boston College,198062,NJ
Allison Lewandowski,Boston College,148464,ME
Allison Lloyd,Boston College,226125,VA
Lisa Lopez,Boston College,246117,FL
Annie MacKay,Boston College,82232,OH
Catherine MacKeen,Boston College,127291,MA
Madeline Mailliard,Boston College,166438,TX
Elizabeth Mangone,Boston College,246118,AZ
Caroline Maniscalco,Boston College,204067,MA
Allie Manning,Boston College,305146,PA
Elizabeth Manning,Boston College,124444,NJ
Caitlin Marks,Boston College,194209,NV
Alison McDonough,Boston College,244223,NC
Kelly McGrath,Boston College,116566,NY
Mackenzie Merriam,Boston College,200416,MN
Melissa Merwin,Boston College,149127,CT
Stephanie Ng,Boston College,149921,NJ
Ellie O' Brien,Boston College,199840,PA
Kathryn Oskar,Boston College,158774,MA
Jordan Parry,Boston College,79418,VA
ASHLEIGH POPERA,Boston College,226633,MD
Kimberly Rich,Boston College,108531,VA
Allison Ridge,Boston College,124605,OH
Nicole Rodriquez,Boston College,294315,USA
Bella Salvatori,Boston College,201827,MD
Allyson Shurmur,Boston College,149197,MO
Andrea Smelser,Boston College,158776,CT
Katherine Vanasse,Boston College,244833,MA
Allison Viverette,Boston College,203848,PA
Marina Vranos,Boston College,197757,MA
Gillian Walsh,Boston College,166888,MA
Kelly Ward,Boston College,294317,USA
Kristen Webber,Boston College,127353,MA
Brittany Williford,Boston College,151764,FL
Molly Anderson,Boston College,183966,MD
Amanda Bieler,Boston College,208118,CT
Grace Gibbons,Boston College,163514,IL
Kelsey Golden,Boston College,360427,MA
Danielle Homere,Boston College,163394,IL
Emily Mann,Boston College,342436,PA
Alexandra Popera,Boston College,263089,MD
